맛집명,경도,위도
미쓰양꼬치,127.051531444143,37.5031429702418
파이어벨,127.05220504075,37.5003911830955
비야게레로,127.052782480959,37.5119595614492
새벽집 청담동점,127.052868425711,37.5255635894763
농민백암순대,127.052982069884,37.5037329376349
농민백암순대 본점,127.052982069884,37.5037329376349
아티장베이커스,127.05327524338,37.4980458368153
외고집설렁탕,127.053900663553,37.5110163357276
하동관,127.05533837197,37.5050615609923
뜨락,127.05555120075,37.524414841696
반룡산,127.055805020517,37.5044663175718
고운님,127.05590048794,37.5043335543465
정육식당 대치점,127.056407268867,37.5022251407478
삼성원조양곱창,127.057637393786,37.5209221868854
봉화전,127.06450747659,37.5147549613669
전국통일닭발,127.066737271164,37.5635280951081
동해해물,127.066766689332,37.5452498995811
원조숯불소금구이,127.067594079252,37.5467307611997
명봉샤브샤브양꼬치,127.068668087675,37.5381003685864
쪼매매운떡볶이,127.077780007937,37.6282707117848
바네하임,127.082070094172,37.6217075409938
남경막국수,127.085150160022,37.5094744342218
주은감자탕,127.096792714937,37.5036784041247
송파나루,127.102735192556,37.5076453754084
멘야하나비,127.107722449185,37.5109164436053
피자힐,127.11170683593,37.5586287308609
모꼬지에,127.112304449933,37.5004721433383
옹아리 벌교 참꼬막,127.118465891551,37.4947814982071
툇마루밥상,127.123139942175,37.4879211374039
봉피양,127.126208782469,37.5100103788551
벽제갈비 방이본점,127.126208782469,37.5100103788551
제주도 아줌마네집,127.1351570109,37.5274828128239
고모네원조콩탕북어탕,127.135931383541,37.5296598239401
돌곰네,127.036575387431,37.5193540121054
뉴문한우육회,127.022801596473,37.5097172733194
건대통골뱅이,127.023202070033,37.5088937671551
새마을식당,127.023731460345,37.5076798282661
고요남,127.023609514192,37.5079657415602
그릭슈바인,127.020191434503,37.5153929034307
사람사는 고깃집 김일도,127.025503123646,37.5068178279731
아카라,127.039916777707,37.5101722418852
서경도락,127.029366710556,37.5197603045107
자연석돌구이,127.035322545477,37.5206855352869
하오,127.053905927199,37.5041802292533
진대감,127.053980350799,37.5040321600816
채근담,127.065020569124,37.5034303138217
맛자랑,127.063144286113,37.5002933090192
초량돼지,127.065754269116,37.5086500606423
포브라더스,127.0442797248,37.4830369640456
봉족발,127.034916899424,37.4854836370087
시추안하우스,127.057953465825,37.5096738123504
미인삼계탕,127.058819250731,37.5125211887102
설로인,127.05031909968,37.5136298366944
정돈프리미엄,127.021049495363,37.5197757748739
김복순큰남비집,127.019970477869,37.5207335482485
미드가르드,127.025023498949,37.5191099693711
개화옥등심,127.025177287734,37.5250139372738
청청,127.031108231004,37.5215078043625
한일관,127.032491173055,37.5278252602596
스시마리,127.037941858635,37.5235903664718
쉬림프팩토리,127.038552238239,37.5250436658079
동경전통육개장,127.032722441257,37.5004261174787
대우식당,127.035254270464,37.502755930736
꽃새우영번지,127.041373636507,37.5061949756421
통영집,127.047393847314,37.5064789629682
강남목장,127.040308162444,37.500362774587
강남목장,127.040308162444,37.500362774587
현대북어찜황태전골,127.03715594206,37.4988757063735
새우상회,127.027616966223,37.4994635250281
무등산,127.039960478833,37.5219196023413
청담정스시,127.049811281571,37.5254415712151
청담정스시,127.049811281571,37.5254415712151
청담골,127.043397505646,37.5227355988604
드럼통떡볶이,127.139295129253,37.5368577803937
까시,127.137541851218,37.5367452282681
버섯잔치집,127.125649974584,37.5282498808446
땡초닭발,127.024326152358,37.6420280112514
장하촌,126.840432129919,37.571444736004
전주뜰콩나물국밥,126.816054023553,37.5551572064531
등촌최월선칼국수,126.856705473189,37.55604047459
농실가,126.839277837374,37.5593359570029
광주똑손이아구찜,126.837862992153,37.5594371865969
방화동쭈꾸미마을,126.81112389954,37.5741124837985
유림,126.866933031463,37.5594088368084
사당삼겹살,126.981165205743,37.4750071174497
봉천동진순자김밥,126.947453254328,37.4812674192197
페리카나,126.945962643976,37.4809662604213
살몬마켓,126.926402049306,37.490342668214
김영자나주곰탕,126.93529346919,37.4723915776374
BBQ치킨,126.957162385713,37.4533586464502
볏짚구이이야기,126.954203692374,37.4814596206024
매화반점 1호점,127.06849109264,37.5384354632128
안동참찜닭,127.069938884096,37.5395981660185
매화반점,127.06849109264,37.5384354632128
고향양꼬치,127.068360785637,37.5384782461208
계탄집,127.067730726176,37.5342912098231
바른면집,127.070705591057,37.5433198289213
개미집,127.076966242262,37.5452020659071
황소곱창,127.068547602945,37.541579649564
텐마루,126.889893838057,37.4777195422213
소문난,127.072387646837,37.6219021842689
채선당,127.055830164279,37.6801862134118
사거리짬뽕집,127.041629118935,37.6621231098063
나정순할매쭈꾸미,127.030782210914,37.5770881478653
먹깨비해물아구찜,127.071596481273,37.5704299388105
광주식당,127.0436400441,37.5805758971013
광주식당,127.0436400441,37.5805758971013
길거리쌀국수,126.945292650858,37.5135121968465
이모네폭탄밥,126.945886450625,37.5133938982556
팔팔해물탕,126.920366616151,37.4974221095732
